TAX,ASSESSED
COUNTY,16000
VILLAGE,16000
SCHOOL,14170
COUNTY,17600
VILLAGE,17600
SCHOOL,15770
COUNTY,20200
VILLAGE,20200
SCHOOL,20200
COUNTY,26500
VILLAGE,26500
SCHOOL,26500
COUNTY,27350
VILLAGE,27350
SCHOOL,27350
COUNTY,21475
VILLAGE,21475
SCHOOL,21475
COUNTY,22875
VILLAGE,22875
SCHOOL,22875
COUNTY,800
VILLAGE,800
SCHOOL,800
COUNTY,37850
VILLAGE,37850
SCHOOL,37850
COUNTY,21300
VILLAGE,21300
SCHOOL,19470
COUNTY,21450
VILLAGE,21450
SCHOOL,19620
COUNTY,271300
VILLAGE,271300
SCHOOL,271300
COUNTY,230915
VILLAGE,230915
SCHOOL,179220
COUNTY,23400
VILLAGE,23400
SCHOOL,23400
COUNTY,14900
VILLAGE,14900
SCHOOL,14900
COUNTY,16325
VILLAGE,16325
SCHOOL,14495
COUNTY,13700
VILLAGE,13700
SCHOOL,11870
COUNTY,14800
VILLAGE,14800
SCHOOL,12970
COUNTY,17000
VILLAGE,17000
SCHOOL,15170
COUNTY,18950
VILLAGE,18950
SCHOOL,18950
COUNTY,22900
VILLAGE,22900
SCHOOL,22900
COUNTY,22900
VILLAGE,22900
SCHOOL,21070
COUNTY,16700
VILLAGE,16700
SCHOOL,14870
COUNTY,30350
VILLAGE,30350
SCHOOL,30350
COUNTY,22000
VILLAGE,22000
SCHOOL,22000
COUNTY,21000
VILLAGE,21000
SCHOOL,21000
COUNTY,14875
VILLAGE,14875
SCHOOL,13045
COUNTY,25500
VILLAGE,25500
SCHOOL,23670
COUNTY,20690
VILLAGE,20690
SCHOOL,19870
COUNTY,16300
VILLAGE,16300
SCHOOL,14470
COUNTY,14400
VILLAGE,14400
SCHOOL,12570
COUNTY,20400
VILLAGE,20400
SCHOOL,18570
COUNTY,16150
VILLAGE,16150
SCHOOL,16770
COUNTY,19100
VILLAGE,19100
SCHOOL,17270
COUNTY,20825
VILLAGE,20825
SCHOOL,20825
COUNTY,17667
VILLAGE,17667
SCHOOL,19350
COUNTY,15400
VILLAGE,15400
SCHOOL,13570
COUNTY,22517
VILLAGE,22517
SCHOOL,22370
COUNTY,35100
VILLAGE,35100
SCHOOL,35100
COUNTY,16700
VILLAGE,16700
SCHOOL,14870
COUNTY,17250
VILLAGE,17250
SCHOOL,17250
COUNTY,16000
VILLAGE,16000
SCHOOL,16000
COUNTY,19400
VILLAGE,19400
SCHOOL,19400
COUNTY,14800
VILLAGE,14800
SCHOOL,15170
COUNTY,14500
VILLAGE,14500
SCHOOL,12670
COUNTY,13125
VILLAGE,13125
SCHOOL,13125
COUNTY,20800
