TAX,ASSESSED
COUNTY TAXABLE,16000
VILLAGE TAXABLE,16000
SCHOOL TAXABLE,14170
FULL MKT VAL,903954
COUNTY TAXABLE,17600
VILLAGE TAXABLE,17600
SCHOOL TAXABLE,15770
FULL MKT VAL,994350
COUNTY TAXABLE,20200
VILLAGE TAXABLE,20200
SCHOOL TAXABLE,20200
FULL MKT VAL,1141242
COUNTY TAXABLE,26500
VILLAGE TAXABLE,26500
SCHOOL TAXABLE,26500
FULL MKT VAL,1497175
COUNTY TAXABLE,27350
VILLAGE TAXABLE,27350
SCHOOL TAXABLE,27350
FULL MKT VAL,1545197
COUNTY TAXABLE,21475
VILLAGE TAXABLE,21475
SCHOOL TAXABLE,21475
FULL MKT VAL,1213276
COUNTY TAXABLE,22875
VILLAGE TAXABLE,22875
SCHOOL TAXABLE,22875
FULL MKT VAL,1292372
COUNTY TAXABLE,800
VILLAGE TAXABLE,800
SCHOOL TAXABLE,800
FULL MKT VAL,45197
COUNTY TAXABLE,37850
VILLAGE TAXABLE,37850
SCHOOL TAXABLE,37850
FULL MKT VAL,2138418
COUNTY TAXABLE,21300
VILLAGE TAXABLE,21300
SCHOOL TAXABLE,19470
FULL MKT VAL,1203389
COUNTY TAXABLE,21450
VILLAGE TAXABLE,21450
SCHOOL TAXABLE,19620
FULL MKT VAL,1211864
COUNTY TAXABLE,271300
VILLAGE TAXABLE,271300
SCHOOL TAXABLE,271300
FULL MKT VAL,15327683
FULL MKT VAL,13559322
COUNTY TAXABLE,230915
VILLAGE TAXABLE,230915
SCHOOL TAXABLE,179220
COUNTY TAXABLE,23400
VILLAGE TAXABLE,23400
SCHOOL TAXABLE,23400
FULL MKT VAL,1322033
COUNTY TAXABLE,14900
VILLAGE TAXABLE,14900
SCHOOL TAXABLE,14900
FULL MKT VAL,841807
COUNTY TAXABLE,16325
VILLAGE TAXABLE,16325
SCHOOL TAXABLE,14495
FULL MKT VAL,922316
COUNTY TAXABLE,13700
VILLAGE TAXABLE,13700
SCHOOL TAXABLE,11870
FULL MKT VAL,774011
COUNTY TAXABLE,14800
VILLAGE TAXABLE,14800
SCHOOL TAXABLE,12970
FULL MKT VAL,836158
COUNTY TAXABLE,17000
VILLAGE TAXABLE,17000
SCHOOL TAXABLE,15170
FULL MKT VAL,960451
COUNTY TAXABLE,18950
VILLAGE TAXABLE,18950
SCHOOL TAXABLE,18950
FULL MKT VAL,1070621
COUNTY TAXABLE,22900
VILLAGE TAXABLE,22900
SCHOOL TAXABLE,22900
FULL MKT VAL,1293785
COUNTY TAXABLE,22900
VILLAGE TAXABLE,22900
SCHOOL TAXABLE,21070
FULL MKT VAL,1293785
COUNTY TAXABLE,16700
VILLAGE TAXABLE,16700
SCHOOL TAXABLE,14870
FULL MKT VAL,943502
COUNTY TAXABLE,30350
VILLAGE TAXABLE,30350
SCHOOL TAXABLE,30350
FULL MKT VAL,1714689
COUNTY TAXABLE,22000
VILLAGE TAXABLE,22000
SCHOOL TAXABLE,22000
FULL MKT VAL,1242937
COUNTY TAXABLE,21000
VILLAGE TAXABLE,21000
SCHOOL TAXABLE,21000
FULL MKT VAL,1186440
COUNTY TAXABLE,14875
VILLAGE TAXABLE,14875
SCHOOL TAXABLE,13045
FULL MKT VAL,840395
COUNTY TAXABLE,25500
VILLAGE TAXABLE,25500
SCHOOL TAXABLE,23670
FULL MKT VAL,1440677
COUNTY TAXABLE,20690
VILLAGE TAXABLE,20690
SCHOOL TAXABLE,19870
FULL MKT VAL,1225988
COUNTY TAXABLE,16300
VILLAGE TAXABLE,16300
SCHOOL TAXABLE,14470
FULL MKT VAL,920903
COUNTY TAXABLE,14400
VILLAGE TAXABLE,14400
SCHOOL TAXABLE,12570
FULL MKT VAL,813559
COUNTY TAXABLE,20400
VILLAGE TAXABLE,20400
SCHOOL TAXABLE,18570
FULL MKT VAL,1152542
COUNTY TAXABLE,16150
VILLAGE TAXABLE,16150
FULL MKT VAL,1050847
SCHOOL TAXABLE,16770
COUNTY TAXABLE,19100
VILLAGE TAXABLE,19100
SCHOOL TAXABLE,17270
FULL MKT VAL,1079096
COUNTY TAXABLE,20825
VILLAGE TAXABLE,20825
SCHOOL TAXABLE,20825
