route.name,route.number,stop.id,time,n.students,location
HS 22 AM,           145,     2, 7:13 am,      6,91 GARDEN RD
HS 22 AM,           145,     3, 7:15 am,      0,GARDEN RD & OXFORD RD
HS 22 AM,           145,     4, 7:16 am,      0,OXFORD RD & PARK RD
HS 22 AM,           145,     5, 7:18 am,      8,ETON RD & PARK RD
HS 22 AM,           145,     6, 7:20 am,      1,ETON RD & WINDMILL LN
HS 22 AM,           145,     7, 7:21 am,      7,GREENDALE RD & WINDMILL CIR & WINDMILL LN
HS 22 AM,           145,     8, 7:23 am,      6,FAIRVIEW RD & GREENDALE RD
HS 22 AM,           145,     9, 7:24 am,     10,DICKEL RD & FAIRVIEW RD
HS 22 AM,           145,    10, 7:26 am,      8,6 DICKEL RD
HS 22 AM,           145,    11, 7:29 am,      8,GORHAM RD & MONTROSE RD
HS 22 AM,           145,    12, 7:31 am,      4,FARLEY RD & VALLEY RD
HS 22 AM,           145,    13, 7:33 am,      2,FARLEY RD & GREENACRES AVE
HS 22 AM,           145,    14, 7:40 am,    -60,SENIOR HIGH SCHOOL (007)
HS 23 AM,           150,     2, 7:17 am,      4,KINGSTON RD & MONTROSE RD
HS 23 AM,           150,     3, 7:18 am,     11,BREWSTER RD & KINGSTON RD
HS 23 AM,           150,     4, 7:20 am,      7,BERKELEY RD & GREENACRES AVE & KINGSTON RD
HS 23 AM,           150,     5, 7:22 am,      3,BERKELEY RD & CLAREMOND RD
HS 23 AM,           150,     6, 7:25 am,     19,CLAREMOND RD & WALWORTH AVE
HS 23 AM,           150,     7, 7:28 am,     17,RIVER RD & WALWORTH AVE
HS 23 AM,           150,     8, 7:31 am,     23,BROOK LN & WALWORTH AVE
HS 23 AM,           150,     9, 7:40 am,    -84,SENIOR HIGH SCHOOL (007)
HS 24 AM,           144,     2, 7:20 am,      3,SAXSON WOODS RD & THIES CT
HS 24 AM,           144,     3, 7:21 am,      5,CRAWFORD LN & SAXON WOODS RD
HS 24 AM,           144,     4, 7:23 am,      1,48 SAXON WOODS RD
HS 24 AM,           144,     5, 7:23 am,      2,67 SAXON WOODS RD
HS 24 AM,           144,     6, 7:25 am,      2,134 SAXON WOODS RD
HS 24 AM,           144,     7, 7:26 am,      1,148 SAXON WOODS RD
HS 24 AM,           144,     8, 7:27 am,      1,185 SAXON WOODS RD
HS 24 AM,           144,     9, 7:28 am,     18,BLACK BIRCH LN & MAGNOLIA RD
HS 24 AM,           144,    10, 7:32 am,      4,BLACK BIRCH LN & THORNWOOD PL
HS 24 AM,           144,    11, 7:33 am,      5,BLACK BIRCH LN & ROCK CREEK LN
